,maxpool,lr,accuracy
0,0.0,0.0232649491717045,0.9904
1,1.0,0.015230786621649499,0.9904
2,10.0,0.03302362964874006,0.991
3,100.0,0.03895623829874636,0.9903
4,1000.0,0.0010481146115669836,0.9564
5,10000.0,0.0003477586269023673,0.098
