run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,maxpool,batch_norm
0,0,1.8886953918525324,0.27538,1.6072166574001312,0.3887,0.0,False
0,1,1.422869252731733,0.4685,1.2831096136569977,0.5271,0.0,False
0,2,1.1739868664985422,0.57342,1.0349803340435029,0.6227,0.0,False
0,3,0.9972570444007054,0.6424,0.907983370423317,0.6766,0.0,False
0,4,0.8715540990805077,0.6874,0.8377686613798141,0.7073,0.0,False
0,5,0.7713861787105765,0.7242,0.746269229054451,0.7381,0.0,False
0,6,0.6968963820763561,0.7553,0.7001931995153428,0.7543,0.0,False
0,7,0.6381588896827015,0.77742,0.6368613055348397,0.7799,0.0,False
0,8,0.5816045146616523,0.79688,0.636837151646614,0.782,0.0,False
0,9,0.5346792773212619,0.81484,0.5682887956500053,0.8073,0.0,False
0,10,0.4965145609262959,0.82568,0.5731573447585105,0.8083,0.0,False
0,11,0.4666022142333448,0.8398,0.5204381516575813,0.8192,0.0,False
0,12,0.4283826229593638,0.85054,0.5448580893874169,0.817,0.0,False
0,13,0.4060405612068103,0.85854,0.5237215957045556,0.8254,0.0,False
0,14,0.37933095603647743,0.86754,0.5446598565578461,0.822,0.0,False
0,15,0.36068566204489344,0.8752,0.53142383903265,0.8228,0.0,False
0,16,0.3326517196033922,0.88452,0.5005008119344712,0.8382,0.0,False
0,17,0.3205895715433618,0.88774,0.5427288967370987,0.8257,0.0,False
0,18,0.30287828389793403,0.89546,0.5053669646382332,0.8383,0.0,False
0,19,0.2854306022148303,0.89884,0.49319798141717913,0.8444,0.0,False
0,20,0.27233055371152776,0.90466,0.5316000100970268,0.8337,0.0,False
0,21,0.2506641164193373,0.91236,0.5054025427997112,0.846,0.0,False
0,22,0.23470118582782235,0.91868,0.5471172353625298,0.8403,0.0,False
0,23,0.22951976478557148,0.91966,0.5565920892357826,0.8357,0.0,False
0,24,0.2183195725464455,0.92342,0.5220228399336339,0.8497,0.0,False
0,25,0.20500707187120568,0.92768,0.53887117177248,0.8422,0.0,False
0,26,0.19155042314582774,0.933,0.549210105240345,0.8453,0.0,False
0,27,0.18531748694379616,0.9342,0.5318456438183784,0.8443,0.0,False
0,28,0.1770926777778379,0.93758,0.5426665741205215,0.8469,0.0,False
0,29,0.1668660437111812,0.94114,0.5719697150588036,0.8464,0.0,False
0,30,0.1628888689381692,0.94204,0.5651307842135429,0.8448,0.0,False
0,31,0.14755193389895016,0.94792,0.5752009978890419,0.8498,0.0,False
0,32,0.15086107526708137,0.9471,0.5698574623465538,0.8513,0.0,False
0,33,0.14422282263103042,0.9496,0.5445616512000561,0.8542,0.0,False
0,34,0.13341015913640447,0.95308,0.5478340332210064,0.8516,0.0,False
0,35,0.12698536557728982,0.95556,0.5535049623250962,0.8607,0.0,False
0,36,0.12091290130925453,0.95674,0.5739503355324268,0.8599,0.0,False
0,37,0.1170240602720424,0.95856,0.6204853114485741,0.8485,0.0,False
0,38,0.11910608250771643,0.95732,0.5345310983061791,0.859,0.0,False
0,39,0.10579560477705792,0.96226,0.6022104775905609,0.8521,0.0,False
0,40,0.10512014005399878,0.96294,0.5876946035027504,0.8588,0.0,False
0,41,0.10420179702436833,0.9636,0.6009212785959244,0.8559,0.0,False
0,42,0.09787925360891063,0.96598,0.6081845724582672,0.8562,0.0,False
0,43,0.09454433157411225,0.96708,0.6037836927175522,0.8606,0.0,False
0,44,0.09232578055023233,0.96776,0.5757709816098213,0.8592,0.0,False
0,45,0.08135412859937648,0.9709,0.6607253047823906,0.8522,0.0,False
0,46,0.08582408889851835,0.9701,0.633442562520504,0.8577,0.0,False
0,47,0.08456864448554834,0.97102,0.6272483089566231,0.8563,0.0,False
0,48,0.07958827503358998,0.97236,0.6372165436297655,0.8574,0.0,False
0,49,0.07973068770583329,0.97174,0.6382546916604042,0.8577,0.0,False
0,50,0.07685271572069172,0.97314,0.609547947049141,0.8579,0.0,False
0,51,0.0675590639336087,0.97564,0.6576803715527058,0.8549,0.0,False
0,52,0.06964405829710957,0.97576,0.6621769002079964,0.8674,0.0,False
0,53,0.06547374623682341,0.97726,0.6638525658845902,0.8578,0.0,False
