,maxpool,lr,accuracy
0,0.0,0.0007236477893949125,0.8479
1,1.0,0.005003656178445005,0.8422
2,10.0,0.0004299345857192817,0.8472
3,100.0,0.0006605336073456034,0.8434
4,1000.0,0.0009996185969521772,0.8488
5,10000.0,0.00038768891744872503,0.8344
