run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,maxpool,batch_norm
0,0,1.717511189258312,0.37972,1.39220703125,0.5104,0.0,True
0,1,1.1237037444053708,0.59548,1.0273779296875,0.6472,0.0,True
0,2,0.8931475783248082,0.68454,0.81361328125,0.7134,0.0,True
0,3,0.7597749910086317,0.73484,0.8585498046875,0.7054,0.0,True
0,4,0.6687099134830563,0.76778,0.72382568359375,0.753,0.0,True
0,5,0.6083428658487852,0.78994,0.7380224609375,0.7522,0.0,True
0,6,0.5603707940377238,0.807,0.6129931640625,0.7893,0.0,True
0,7,0.516452330762468,0.82118,0.60263916015625,0.796,0.0,True
0,8,0.48944013746803067,0.82852,0.58775146484375,0.8058,0.0,True
0,9,0.4616493166560102,0.84236,0.5781884765625,0.7982,0.0,True
0,10,0.4334985289122442,0.85058,0.5162548828125,0.8266,0.0,True
0,11,0.41356048193734013,0.85734,0.50336669921875,0.8325,0.0,True
0,12,0.3906365514106458,0.86532,0.5774169921875,0.8135,0.0,True
0,13,0.3774108106218031,0.86858,0.47446533203125,0.8407,0.0,True
0,14,0.3608938543997762,0.87554,0.445970458984375,0.8506,0.0,True
0,15,0.3511856742527174,0.87728,0.43779541015625,0.8522,0.0,True
0,16,0.33617570881953324,0.8825,0.472080078125,0.8423,0.0,True
0,17,0.32713969589194375,0.88764,0.60319091796875,0.8088,0.0,True
0,18,0.3059519111652813,0.89392,0.46383544921875,0.8514,0.0,True
0,19,0.299185282129156,0.89574,0.449617919921875,0.857,0.0,True
0,20,0.288588892163523,0.89946,0.468404541015625,0.8475,0.0,True
0,21,0.28544971827046034,0.9006,0.4060302734375,0.866,0.0,True
0,22,0.2687733838015505,0.90568,0.5734716796875,0.8282,0.0,True
0,23,0.2621655086117327,0.90906,0.5013330078125,0.8418,0.0,True
0,24,0.26003427334758633,0.90982,0.465390625,0.8493,0.0,True
0,25,0.25265666834838557,0.91114,0.44967041015625,0.8602,0.0,True
0,26,0.24242929912284208,0.91472,0.40417724609375,0.8677,0.0,True
0,27,0.2368877440157449,0.9156,0.379833984375,0.88,0.0,True
0,28,0.2300649189278293,0.91916,0.43909423828125,0.8597,0.0,True
0,29,0.22440238620923914,0.92094,0.43586181640625,0.8623,0.0,True
0,30,0.21723457980338876,0.9231,0.446942138671875,0.8607,0.0,True
0,31,0.20946297804108055,0.92686,0.44800537109375,0.8658,0.0,True
0,32,0.20751953125,0.92626,0.408599853515625,0.8662,0.0,True
0,33,0.20197703954203963,0.92848,0.406947021484375,0.871,0.0,True
0,34,0.19902596632233055,0.92982,0.447523193359375,0.864,0.0,True
0,35,0.19249067769940856,0.93172,0.4206982421875,0.8688,0.0,True
0,36,0.18870321990888747,0.93416,0.407337646484375,0.8718,0.0,True
0,37,0.19071332146139705,0.93328,0.44843994140625,0.8689,0.0,True
0,38,0.1826441928248881,0.93606,0.43125732421875,0.8735,0.0,True
0,39,0.18258784067295397,0.93624,0.430225830078125,0.8656,0.0,True
0,40,0.18069699963035485,0.93676,0.430653076171875,0.8684,0.0,True
0,41,0.17638918201027015,0.9383,0.41851318359375,0.8738,0.0,True
0,42,0.17105945479839355,0.94012,0.433531494140625,0.8641,0.0,True
0,43,0.17104189353220908,0.9406,0.4148681640625,0.8723,0.0,True
0,44,0.16389812654851343,0.9422,0.418504638671875,0.8771,0.0,True
0,45,0.16139232898917039,0.94312,0.431572265625,0.8721,0.0,True
0,46,0.16115388601942135,0.9429,0.51148193359375,0.8504,0.0,True
0,47,0.15578045076726343,0.9451,0.42115478515625,0.8761,0.0,True
0,48,0.15858564840253356,0.94374,0.44724609375,0.8737,0.0,True
0,49,0.1571968254225943,0.94476,0.454632568359375,0.8732,0.0,True
0,50,0.15515940634490888,0.94476,0.4336474609375,0.8716,0.0,True
0,51,0.14979728835318096,0.94682,0.4330694580078125,0.874,0.0,True
0,52,0.14879079365059542,0.9481,0.437691650390625,0.8741,0.0,True
0,53,0.14665171435421995,0.94896,0.423170166015625,0.8729,0.0,True
0,54,0.14469804300371644,0.9485,0.437169189453125,0.8726,0.0,True
0,55,0.137791392138547,0.9513,0.4613818359375,0.8652,0.0,True
0,56,0.1436888555736493,0.94944,0.41837890625,0.8824,0.0,True
0,57,0.1395824071391464,0.95072,0.435989990234375,0.8755,0.0,True
0,58,0.1384824669879416,0.95172,0.44593505859375,0.8737,0.0,True
0,59,0.13123479584598785,0.9532,0.399993896484375,0.8841,0.0,True
0,60,0.1332179310986453,0.9528,0.44197509765625,0.8731,0.0,True
0,61,0.1267228772878037,0.95498,0.484208984375,0.8633,0.0,True
0,62,0.13108556410845587,0.95386,0.45154541015625,0.8738,0.0,True
0,63,0.12806799222746162,0.9548,0.415133056640625,0.8833,0.0,True
0,64,0.12336789494585199,0.95662,0.435634765625,0.873,0.0,True
0,65,0.11786630147558344,0.95858,0.431778564453125,0.8779,0.0,True
0,66,0.12047223727721387,0.95778,0.47067626953125,0.8687,0.0,True
0,67,0.12112863838215314,0.95786,0.48923828125,0.8697,0.0,True
0,68,0.11643150700327685,0.9588,0.469071044921875,0.8741,0.0,True
0,69,0.12061069810481938,0.95732,0.405296630859375,0.88,0.0,True
0,70,0.10745945610963475,0.96274,0.436209716796875,0.8801,0.0,True
0,71,0.11741271348255675,0.95916,0.5476171875,0.8503,0.0,True
0,72,0.11348339968630115,0.95884,0.44997802734375,0.8766,0.0,True
0,73,0.10824627888477062,0.96172,0.483065185546875,0.8715,0.0,True
0,74,0.10530952785326086,0.96262,0.44437744140625,0.8803,0.0,True
0,75,0.10652601627437659,0.96234,0.47369873046875,0.8713,0.0,True
0,76,0.10454748597596307,0.96266,0.439478759765625,0.8838,0.0,True
0,77,0.10187848571621244,0.96462,0.4231640625,0.8854,0.0,True
0,78,0.09951025140864769,0.96488,0.45529296875,0.8801,0.0,True
0,79,0.10272809977421675,0.96388,0.492803955078125,0.8678,0.0,True
0,80,0.09390477329263906,0.96688,0.44330810546875,0.8828,0.0,True
