,maxpool,lr,accuracy
0,0.0,0.049034928508890206,0.4952
1,0.5,0.01935941025770137,0.4803
2,1.0,0.013376260403194848,0.4837
3,10.0,0.02105279349654382,0.4633
4,100.0,0.03437762618534822,0.4747
